[SafeArea] Time: 0, Screen: 118x209, SafeArea: (x:0.00, y:0.00, width:118.00, height:209.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 118x209, SafeArea: (x:0.00, y:0.00, width:118.00, height:209.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 5.910929, Screen: 118x209, SafeArea: (x:0.00, y:0.00, width:118.00, height:209.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 9.382867, Screen: 118x209, SafeArea: (x:0.00, y:0.00, width:118.00, height:209.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.46344, Screen: 118x210, SafeArea: (x:0.00, y:0.00, width:118.00, height:210.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.47922, Screen: 122x216, SafeArea: (x:0.00, y:0.00, width:122.00, height:216.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.49464, Screen: 125x222, SafeArea: (x:0.00, y:0.00, width:125.00, height:222.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.50988, Screen: 129x230, SafeArea: (x:0.00, y:0.00, width:129.00, height:230.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.52625, Screen: 134x239, SafeArea: (x:0.00, y:0.00, width:134.00, height:239.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.54243, Screen: 138x246, SafeArea: (x:0.00, y:0.00, width:138.00, height:246.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.55784, Screen: 142x253, SafeArea: (x:0.00, y:0.00, width:142.00, height:253.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.57174, Screen: 144x256, SafeArea: (x:0.00, y:0.00, width:144.00, height:256.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.58521, Screen: 148x263, SafeArea: (x:0.00, y:0.00, width:148.00, height:263.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.59846, Screen: 150x267, SafeArea: (x:0.00, y:0.00, width:150.00, height:267.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.61098, Screen: 155x275, SafeArea: (x:0.00, y:0.00, width:155.00, height:275.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.62369, Screen: 159x283, SafeArea: (x:0.00, y:0.00, width:159.00, height:283.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.63724, Screen: 161x286, SafeArea: (x:0.00, y:0.00, width:161.00, height:286.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.6497, Screen: 165x293, SafeArea: (x:0.00, y:0.00, width:165.00, height:293.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 18.66239, Screen: 166x296, SafeArea: (x:0.00, y:0.00, width:166.00, height:296.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
